iter	Passed	Remaining
266	67677	59059
267	67877	58759
268	68167	58538
269	68447	58307
270	68704	58056
271	68919	57771
272	69178	57521
273	69465	57296
274	69696	57024
275	69930	56754
276	70173	56493
277	70452	56260
278	70706	56007
279	70960	55754
280	71198	55488
281	71411	55204
282	71640	54932
283	71895	54681
284	72172	54445
285	72422	54189
286	72800	54029
287	73079	53794
288	73332	53540
289	73551	53261
290	73783	52991
291	74034	52737
292	74331	52514
293	74636	52296
294	74945	52080
295	75276	51879
296	75622	51688
297	75920	51462
298	76237	51249
299	76523	51015
300	76791	50768
301	77065	50526
302	77381	50310
303	77705	50099
304	78021	49882
305	78306	49645
306	78665	49454
307	78943	49211
308	79237	48978
309	79486	48717
310	79944	48583
311	80241	48350
312	80511	48101
313	80898	47920
314	81208	47694
315	81511	47462
316	81814	47230
317	82097	46986
318	82393	46749
319	82706	46522
320	83069	46322
321	83413	46110
322	83691	45861
323	83952	45603
324	84222	45350
325	84497	45099
326	84772	44848
327	85065	44607
328	85308	44339
329	85610	44102
330	85888	43852
331	86156	43597
332	86443	43351
333	86720	43100
334	86996	42849
335	87242	42582
336	87504	42324
337	87733	42049
338	87967	41778
339	88207	41509
340	88418	41227
341	88661	40960
342	88942	40711
343	89184	40444
344	89427	40177
345	89664	39908
346	89895	39637
347	90102	39355
348	90334	39084
349	90588	38823
350	90820	38553
351	91059	38286
352	91264	38005
353	91514	37743
354	91765	37481
355	91989	37209
356	92213	36936
357	92435	36664
358	92677	36399
359	92887	36123
360	93112	35852
361	93339	35582
362	93532	35300
363	93789	35042
364	94025	34776
365	94270	34514
366	94508	34249
367	94830	34015
368	95098	33761
369	95361	33505
370	95587	33236
371	95827	32972
372	96058	32706
373	96278	32436
374	96514	32171
375	96751	31907
376	96951	31631
377	97170	31362
378	97420	31102
379	97653	30837
380	97866	30567
381	98083	30298
382	98287	30025
383	98510	29758
384	98776	29504
385	98987	29234
386	99235	28975
387	99462	28710
388	99737	28459
389	99994	28203
390	100232	27942
391	100488	27685
392	100701	27417
393	100923	27151
394	101170	26893
395	101399	26630
396	101670	26378
397	101898	26114
